,name,Name_Matched
69,Panos Constantopoulos,Q112401435
83,Simon Razniewski,Q51903121
84,Christoph Lofi,Q102443130
90,Alexandros Chortaras,Q102427159
96,Michael R Glass,Q82887961
97,Mayank Kejriwal,Q49145043
100,Manuel Finke,Q124830156
103,Sepideh Mesbah,Q30098458
105,Paramita Mirza,Q27049196
109,Yangmei Li,Q88342276
117,Lihua Qian,Q96093757
118,Kewei Tu,Q102393577
121,Irini Fundulaki,Q125173301
122,Giorgos Flouris,Q125173317
126,Henrik Forssell,Q102374223
137,Isabelle Mougenot,Q122474349
138,Sumit Bhatia,Q102635109
155,Svitlana Vakulenko,Q103202380
3,Marco Antonio Casanova,Q57416873
19,Sven Hertling,Q96376013
33,Stefan Schlobach,Q57235666
36,Hajira Jabeen,Q61562741
43,Dimitris Kontokostas,Q47543874
44,Robert Sanderson,Q57839788
49,David M. Weigl,Q58295658
53,Miguel A. Martínez-Prieto,Q58049503
58,Roger Hilfiker,Q56524783
60,Marco Brambilla,Q42593195
65,Eetu Mäkelä,Q59297852
66,Dag Hovland,Q57193263
70,Andrea Mauri,Q58918502
72,Michael Schumacher,Q98612709
76,Varun Ratnakar,Q52353558
77,Michael Zakharyaschev,Q109605278
98,Lorenz Bühmann,Q111309182
104,Mohamed Morsey,Q67396000
105,Alan J Meehan,Q57640405
111,Giseli Rabello Lopes,Q61107107
115,Eleanor E. Fink,Q115126553
117,David Newbury,Q5237990
129,Peter Bloem,Q54839642
131,Bas Stringer,Q27972041
145,Deborah Khider,Q63965421
146,Julien Emile-Geay,Q58140821
148,Marcos Martínez-Romero,Q57153649
149,Attila L Egyedi,Q90248616
150,Debra Willrett,Q109720765
151,John Graybeal,Q59753738
153,Arild Waaler,Q117232541
160,Mikhail Roshchin,Q503663
162,Claudius Julianus,Q97104339
167,Jiewen Wu,Q102424276
171,Gemma Gallagher,Q21461918
1,Giuseppe De Giacomo,Q59189527
8,Patrick Lambrix,Q37370162
11,H.E. Bal,Q64658289
12,Simone Paolo Ponzetto,Q28578432
23,Rafael Peñaloza,Q57517599
31,Volker Tresp,Q30087207
33,Chris T. Evelo,Q19845641
34,Egon Willighagen,Q20895241
35,Núria Queralt Rosinach,Q29644228
36,Iovka Boneva,Q51602564
39,Davide Lanti,Q57193258
40,Maximilian Marx,Q57193637
46,Sadok Ben Yahya,Q62053835
53,John Howse,Q82432213
54,Matthew Dennis,Q85849994
57,Ana Ozaki,Q57193634
58,Egor V. Kostylev,Q62058582
59,Gem Stapleton,Q90748627
60,Ernest Teniente Lopez,Q77863260
61,Laura I. Furlong,Q30347594
62,Jorge Perez,Q102398281
63,Eric G. Prud'hommeaux,Q28914639
64,Christopher Phethean,Q51951863
79,Alessandro Artale,Q102427271
80,Angelos Charalambidis,Q102416537
85,Sven Seuken,Q102975437
87,Vasilis Efthymiou,Q105075837
92,Anni-Yasmin Turhan,Q102312238
96,Vassilis Christophides,Q125173292
111,Dmitry Moor,Q504262
116,Viachaslau Sazonau,Q114833053
123,Thomas Paradiso,Q9358518
125,Francesco Sportelli,Q112180398
132,Ludwig Michel,Q10320459
133,Kees van Deemter,Q102333432
140,Hélène Jaudoin,Q44584020
143,Andreas Nölle,Q124413536
144,Melisachew Wudage Chekol,Q121760088
